,ktest,p-value,p-value_adj,cluster
DCTN5,0.052115830010056055,0.99966633320293,1.0,4
NF2,12.823359446291846,0.012171932089026049,0.03901260284944246,1
DCLRE1C,7.842245797086784,0.09753088687645554,0.24201212624430654,1
GRAMD2B,37.16101660931483,1.6688286004786323e-07,1.1548986854523407e-06,1
CTPS2,16.237048163354956,0.002717029410871506,0.010271790838104516,1
ENSGALG00000045199,0.6778894827982851,0.9540273453068964,1.0,0
TNFRSF10B,1.6436624086370712,0.8009241321258815,1.0,1
SLC35B1,44.41231223420732,5.267349596559251e-09,4.335267157661935e-08,4
POGZ,2.8826187288583798,0.5776570969148875,0.9840836404001492,1
SLC9A3R1,3.1086930421089014,0.5398034998221499,0.9462093280082994,1
TRIO,9.455067171553782,0.050678750096154385,0.13884589067439557,4
NSL1,0.1533717448600979,0.9972057254206578,1.0,4
ENSGALG00000034512,10.889134052842259,0.02783866013383697,0.08224124116347702,1
EFCAB1,1.9789104870912935,0.739638009185126,1.0,1
TEX30,8.899895581141879,0.06365090334791533,0.16885818135385933,4
C1GALT1,18.99202362326537,0.0007887852500435874,0.003259443181998295,0
TTC21B,15.498438475670403,0.0037716044993862806,0.013660521601992572,1
ADAT1,41.93819269825097,1.718103642657723e-08,1.3581846977531407e-07,1
STOX2,1.0797907429811568,0.897465232112263,1.0,1
ENSGALG00000051397,32.09306037237506,1.831118617783122e-06,1.1030835046886277e-05,0
FLAD1,32.5199752728656,1.497674977920963e-06,9.104407160613757e-06,1
ENSGALG00000015017,16.835310508779777,0.0020806621216485355,0.007987186647403208,1
PRTFDC1,0.3125905118367633,0.9889869856104403,1.0,1
DVL1,279.83160708637314,2.422692481831676e-59,1.211346240915838e-57,1
TEDC1,4.650311810385925,0.32509450854421795,0.6443895114850703,1
LUC7L3,0.47743931232521164,0.9756597742188409,1.0,2
ERI2,0.3694036795112308,0.9849043896674866,1.0,2
B4GALT1,28.249944610471807,1.109933754142732e-05,6.015901106464672e-05,0
TAF12,11.052693034559656,0.025978156659180494,0.07713620787791954,1
CCNE1,2.120408028928692,0.7136240467966257,1.0,1
CENPJ,0.16764924569759765,0.9966770134214036,1.0,1
ZBTB6,33.33452784144552,1.0201606025554868e-06,6.416104418587968e-06,1
FIG4,0.38450633476236956,0.9837256492462512,1.0,1
GADD45G,16.298848571210954,0.0026432836499711595,0.010063014204667606,4
TRAF3IP3,5.124387727557747,0.2747710001778714,0.5665381446966421,1
IFT122,14.086138437940212,0.0070251517331420595,0.02397662707557017,1
TBC1D1,33.24165804709191,1.0658399821942914e-06,6.661499888714322e-06,4
SNX25,5.97010131446535,0.20139227960071934,0.44473544514884267,1
PRR14L,1.6739075272664985,0.7954517177892196,1.0,1
DEK,0.12777394531379857,0.9980440991857559,1.0,2
SMAD6,1.283642094304239,0.8641447178063452,1.0,1
FAM120A,1.1646798299550094,0.8838789106495697,1.0,0
PRKAB2,0.7976141009504254,0.9387676411529441,1.0,1
ADAL,2.3762411403515427,0.6669250675140161,1.0,2
LIPA,5.976236591515497,0.20092998173863943,0.44525267428321635,4
ACAD11,15.42524547192406,0.003895824764076475,0.014064349328795937,1
TXNDC9,0.3799623071269064,0.9840843304678809,1.0,1
FBXO38,0.1421114290933688,0.9975920005112936,1.0,1
KIAA1671,2.5873384254693232,0.6290676973406928,1.0,1
COG1,5.119711066489245,0.2752334672270901,0.5669072445460146,1
MMADHC,13.51101530108214,0.0090308896483665,0.030116094970116438,4
FBXL5,0.5087048451851057,0.9726480475262705,1.0,4
LSS,59.85462938031056,3.112250785782594e-12,3.477375179645356e-11,0
SMCO4,0.9325326776836013,0.9198477841549595,1.0,4
EIF3E,58.142961083902094,7.121495932816578e-12,7.740756448713672e-11,1
DUSP12,15.054399279467326,0.004589709128614314,0.01621805345800111,4
SENP7,3.1720270983326633,0.5294608632105775,0.9321494070608759,1
HIF1A,1.2294593584406852,0.8732249183951195,1.0,4
HSPA13,0.15564359103301234,0.9971244952298844,1.0,1
ENSGALG00000004110,19.285374911020448,0.0006906934789833461,0.002883897615796852,4
BTRC,76.23962246072324,1.0893641575178058e-15,1.5235862342906375e-14,1
GTF2B,7.029276524970584,0.1343491597836004,0.3161156700790598,4
TOP3A,25.198071255848852,4.590039903291188e-05,0.00023358981696138364,4
SMAD2Z,0.21962743565748663,0.9943942329159408,1.0,1
GSN,38.66676225088344,8.162606520031145e-08,5.893578714823932e-07,4
STOM,0.5662868784912878,0.966735294406922,1.0,1
PAQR3,67.47496158603077,7.740991274576316e-14,9.556779351328785e-13,2
OCIAD1,5.954801179370218,0.2025492723202828,0.44663566112521014,1
PABPC4,4.004409989314692,0.4054093515569015,0.7678207415850407,1
CMC2,6.882489761878007,0.14222994996296345,0.33124810702802615,2
RPS6KA3,11.60392995365943,0.020552895674952484,0.06295524141857625,4
CPD,0.55099724455218,0.9683502352967468,1.0,2
HERC2,9.752513346482115,0.044809427149385565,0.12424990340447574,1
PPP4R3A,0.019290613853591616,0.9999537820552766,1.0,1
CENPK,1.6043101663881414,0.808017254584632,1.0,4
USP33,2.1418743417950665,0.7096836820124479,1.0,1
DPH5,0.9749362584243864,0.9135723579305068,1.0,4
PHF5A,56.443504797781095,1.618657336800316e-11,1.686101392500329e-10,1
BMPR2,3.1086387199567316,0.5398124216287348,0.9462093280082994,1
P4HA1,16.1401013710222,0.0028368164237121446,0.010644714535505233,4
CEP250,0.3809767616043555,0.9840045540549219,1.0,1
PARP8,0.0306760883024256,0.9998835680977824,1.0,1
OGT,7.475409124637735,0.11279854787369037,0.27263496879951526,2
FHL3,107.83780571156784,2.1039715936154979e-22,4.250447663869693e-21,0
RNF130,0.024274899167057117,0.9999269344750638,1.0,1
RRM2B,0.13003807731492234,0.9979756887052266,1.0,1
GLIPR2,11.31667950020218,0.02322631017975152,0.07006428410181453,1
MAPT,0.012554634380538785,0.9999803799026362,1.0,1
BAP1,4.197922019954245,0.37988218540709184,0.7333632922916832,1
ENSGALG00000039958,4.511693618331768,0.3411631702838887,0.6729056613094452,1
ILVBL,46.78799083679879,1.6881064063957785e-09,1.4552641434446366e-08,1
DLG1,15.968514538438386,0.0030617047331193644,0.011332024738104534,1
NANS,0.5454132625504061,0.968932050499552,1.0,2
ENSGALG00000010713,29.866172425105578,5.211262695846257e-06,2.9949785608311827e-05,1
ENSGALG00000038160,5.969135285018658,0.20146515665242573,0.44473544514884267,4
ENSGALG00000036263,0.7581797982993802,0.9439650744631594,1.0,1
OTUD3,1.1080323120867321,0.8929957050178716,1.0,1
EEF2K,13.76415012589089,0.00808710985445611,0.02732131707586524,1
