,ktest,p-value,p-value_adj,cluster
CARNMT1,4.634734931667796,0.3268689576874208,0.573957783472205,0
NCOA4,21.604104297860573,0.00024026244249988085,0.0008689419258585203,4
BCAP29,3.158828598126599,0.531606384753337,0.8451611840275628,1
NOC4L,0.10106951974541578,0.998765332596605,1.0,1
MSN,75.27226375639052,1.7451358687597735e-15,1.4726884968436908e-14,0
UBLCP1,34.36212397429834,6.280277491114434e-07,3.0937327542435636e-06,1
ENSGALG00000033014,0.9614709785671787,0.9155808808005991,1.0,1
FAM199X,17.43214040963076,0.0015927567356859565,0.004954142257188045,1
TBC1D22A,0.9028401460359845,0.9241530013753282,1.0,4
HORMAD1,5.986061654494769,0.2001916184475661,0.3784340613375541,1
CCDC88A,1.8138499945683002,0.7699474589040016,1.0,1
ENSGALG00000041054,2.8973802003248155,0.5751428285347511,0.8896254115000016,4
ASB13,9.042216714347756,0.06005288263485754,0.1335992939596386,1
SNAPC4,49.207417128094015,5.285036748570976e-10,3.1741962453879735e-09,4
EIF3A,196.02100992103382,2.6931454087631474e-41,5.730096614389675e-40,4
WNK2,3.629411512538856,0.45847568183443876,0.7540718451224322,1
BTK,261.8102622389055,1.8573151102429694e-55,4.8876713427446567e-54,1
ENSGALG00000047139,2.2862417736035514,0.6832750705099901,0.9909718208991881,1
TM7SF3,1.9148632392969058,0.7514140828521887,1.0,1
SLC2A8,6.141535933642329,0.1888246833885063,0.3610414596338553,1
RELL1,32.02141472632817,1.8939151331165438e-06,8.997221534995457e-06,0
TMTC4,1.6756913031694394,0.795128448082036,1.0,1
ENSGALG00000000791,0.024249109203962362,0.9999270890179344,1.0,1
ENSGALG00000053127,0.38586047975303456,0.9836180941100151,1.0,1
TMEM55A,11.800642905706855,0.018896974389081927,0.04765945621458241,1
SLC2A13,0.6812054939447802,0.9536262812922497,1.0,1
NUDT13,4.653543456644142,0.32472735854574036,0.571703096031233,1
MGEA5,2.5687099106957882,0.6323759107869344,0.943136026558416,4
PABPC1,141.1279353592551,1.6186487881214124e-29,2.452498163820322e-28,2
USP48,17.452794995633827,0.0015780680755945855,0.004916099923970671,4
SERINC3,1.088926004261705,0.8960252159208181,1.0,1
CALR3,22.9665564492721,0.0001285891373889433,0.0004889320813267806,1
PSTPIP2,0.3930951650056029,0.9830383102064062,1.0,1
MVB12B,4.378565958755882,0.3571902024165796,0.6179761287484077,4
ABCG2,46.788478108641286,1.6877120290511834e-09,9.95700312124592e-09,1
PDCD7,12.52882130747344,0.01382297133378654,0.03628076465560772,4
INCENP,1.7131624176783138,0.7883252880713691,1.0,1
XPNPEP3,12.57112143144441,0.01357308745324844,0.03569416301325875,1
TOLLIP,1.2863471579012138,0.8636876446749624,1.0,1
ENSGALG00000000407,0.25095563505040186,0.9927562182284051,1.0,1
CCNG2,15.416173673097067,0.0039114985357535876,0.01133767691522779,0
LSM4,13.072097072232493,0.010928835126263504,0.029289351075397863,1
KLHL12,7.199054157030089,0.12573565031413966,0.2544593086611277,1
CAP1,0.18739795655182243,0.995875061917393,1.0,1
